23;DOMAINE DES CHAUSSELIÈRES;Les Chausselières;44330;LE PALLET;02 40 80 93 88;;domainechausselieres@wanadoo.fr;www.domainedeschausselieres.com;ouvert du mardi au vendredi : 15h-19h. Le samedi : 9h-12h30. Fermé le dimanche et jours fériés;[ 47.1378958 , -1.3351722]
24;CHÂTEAU DE LA GALISSONNIÈRE - EARL VIGNOBLES LUSSEAUD;Château de la Galissonnière;44330;LE PALLET;02 40 80 42 03;;vignoble@chateaugalissonniere.fr;www.chateaugalissonniere.fr;Ouveret du lundi au vendredi : 8h-12h30 / 14h- 18h30. Le samedi : 9h-12h30. En dehors de ces horaires, sur RDV. Fermé pendant les vendanges;[ 47.1378958 , -1.3351722]
25;DOMAINE COEUR DE LOIRE;Château de la Plessisière;44330;LA CHAPELLE-HEULIN;02 40 06 74 73;;coeurdeloire-domaine@wanadoo.fr;www.coeurdeloiredomaine.com;Ouvert du lundi au samedi : 11h-19h. Le dimanche sur RDV. Fermé de Noël à mars;[ 47.1670725 , -1.336576]
26;DOMAINE DES GÉNAUDIÈRES - EARL ATHIMON;;44850;LE CELLIER;02 40 25 40 27;;earl.athimon@wanadoo.fr;;Du Lundi au samedi : 9h-12h30 / 14h-19h;[ 47.3184661 , -1.3466037]
27;DOMAINE MENARD-GABORIT;La Minière;44690;MONNIERES;02 40 54 61 06;;philippe.menard7@wanadoo.fr;www.domaine-menard-gaborit.com;Ouvert du lundi au samedi : 10-12h / 14-18h. Fermé le dimanche et pendant les vendanges;[ 47.1213062 , -1.3510784]
28;DOMAINE TOPAZE;22 rue de la Poste;44690;MONNIERES;02 40 54 64 91;;jpaul@topaze-monnieres.com;www.topaze-monnieres.com;Ouvert du lundi au dimanche : 14h-19h;[ 47.1331156 , -1.3537031]
29;DOMAINE HENRI POIRON ET FILS;Les Quatre Routes;44690;MAISDON-SUR-SEVRE;02 40 54 60 58;;poiron.henri@wanadoo.fr;;Ouvert du lundi au vendredi : 9h-12h30 / 14h-18h30. Le samedi jusqu’à 17h. Dimanche sur RDV. Fermé les jours fériés;[ 47.1187945 , -1.3644538]
30;DOMAINE DE LA COGNARDIÈRE;GAEC Nouet;44330;LE PALLET;02 40 80 41 72;;nouet.vigneron@orange.fr;www.cognardiere-nouet.com;Ouvert du lundi au vendredi : 9h30-12h30 / 14h-19h. Le samedi : 9h30-12h30 / 14h-17h30. Fermé le dimanche;[ 47.1551012 , -1.3649846]
31;CHRISTOPHE MAILLARD;59, Le Pé de Sèvre;44330;LE PALLET;02 40 80 44 92;;lacave@maillard-vigneron.com;www.maillard-vigneron.com;En saison : ouvert du lundi au vendredi : 9h-12h/14h-18h et le samedi : 9h-14h. Fermé pendant les vendanges;[ 47.1416524 , -1.3668227]
32;LES CHAIS DE LA COUR;11 rue des Rouliers La Cognardière;44330;LE PALLET;02 40 80 42 30;;f.richard-de-tournay@wanadoo.fr;www.leschaisdelacour.com;Ouvert du lundi au samedi: 14h-19h. Fermé le dimanche après-midi;[ 47.154862 , -1.3670527]
33;CHÂTEAU DE LA CASSEMICHÈRE;La Cassemichère;44330;LA CHAPELLE-HEULIN;02 40 06 74 07;;contact@chateaucassemichere.com;www.chateaucassemichere.com;Ouvert du lundi au vendredi : 10h-18h. Le samedi : 10h-19h. Dimanche sur RDV;[ 47.162408 , -1.3694685]
34;DOMAINE VINET;La Quilla;44690;LA HAIE-FOUASSIERE;02 40 54 88 96;;dgvinet@la-quilla.fr;www.muscadet-vinet.fr;Ouvert du lundi au samedi : 9h-12h / 14h-18h. Fermé le dimanche et jours fériés;[ 47.1645533 , -1.3773606]
35;DOMAINE LA HAUTE FÉVRIE;109  La Févrie;44690;MAISDON-SUR-SEVRE;02 40 36 94 08;;haute-fevrie@netcourrier.com;www.vigneron-independant.com/membres/domaine-la-haute-fevrie;Ouvert du lundi au vendredi : 8h30-12h / 14h-18h. Le samedi : 10h-12h / 14h-17h et le dimanche sur RDV;[ 47.1412582 , -1.3815559]
36;DOMAINE DU FIEF DUBOIS;La Févrie;44690;MAISDON-SUR-SEVRE;02 40 36 93 84;;fief-dubois@wanadoo.fr;fiefdubois.monsite.wanadoo.fr;Ouvert du lundi au samedi : 10h-20h. Fermé le dimanche;[ 47.1408203 , -1.382592]
37;EARL LANDRON CHARTIER;Le Bas Ponceau;44850;LIGNE;;;landronchartier@yahoo.fr;www.landronchartier.fr;;[ 47.403867 , -1.383878]
38;DOMAINE DES CROIX;23 Les Croix;44690;MAISDON-SUR-SEVRE;02 40 06 65 07;;batard.joseph@wanadoo.fr;www.domainedescroix.fr;Ouvert du lundi au samedi : 9h-19h. Ouvert le dimanche. Fermé le1er janvier, Pâques, le 1er novembre et Noël;[ 47.0991076 , -1.3852578]
39;CHÂTEAU DE CHASSELOIR;;44690;SAINT-FIACRE-SUR-MAINE;02 40 54 81 15;;contact@chereau-carre.fr;www.chereau-carre.fr;Ouvert du lundi au samedi : 9h-18h. Dimanche sur RDV;[ 47.1316248 , -1.4102476]
40;CHÂTEAU DU COING;Château du Coing de Saint Fiacre;44690;SAINT-FIACRE-SUR-MAINE;02 40 54 85 24;;contact@chateau-du-coing.com;www.chateau-du-coing.com;Ouvert du lundi au samedi : 9h-18h. Le dimanche sur RDV;[ 47.1439184 , -1.4159454]
41;DOMAINE POIRON DABIN ;;44690;CHATEAU-THEBAUD;02 40 06 56 42 ;;dom.poiron@wanadoo.fr;http://www.muscadet-poiron.com/;Ouvert du lundi au samedi : 9h-12h / 14h-19h;[ 47.1246525 , -1.4190654]
42;DOMAINE BID'GI VIGNERONS;La Cornillère;44690;LA HAIE-FOUASSIERE;02 40 54 83 24;;scea.bideau.giraud@wanadoo.fr;;Ouvert du lundi au vendredi : 9h-18h. Samedi : 10h-17h30. Fermé le dimanche et jours fériés;[ 47.166024 , -1.4231028]
43;DOMAINE LIEUBEAU;Château de la Bourdinière;44690;CHATEAU-THEBAUD;02 40 06 54 81;;pierreetchantal@lieubeau.com;www.lieubeau.com;Ouvert du lundi au samedi : 11h-12h30 / 14h-19h. Fermé le dimanche;[ 47.1174852 , -1.4343095]
44;DOMAINE DES CORMIERS - EARL LOIRET;47 route de la Haye Fouassière;44120;VERTOU;02 40 34 28 13;;loiret.earl@wanadoo.fr;;Ouvert du lundi au samedi : 8h-12h / 14h-18h. Fermé le dimanche et jours fériés;[ 47.1621442 , -1.4392285]
45;DOMAINE DE LA NOË;La Noë;44690;CHATEAU-THEBAUD;02 40 06 50 57;;domainedelanoe@free.fr;www.domainedelanoe.fr;Ouvert du lundi au samedi : 8h-12h30 / 14h-18h. Fermé le dimanche;[ 47.116977 , -1.4442415]
47;DOMAINE DU PARC;Le Parc;44650;CORCOUE-SUR-LOGNE;02 40 05 86 11;;pierredaheron@aol.com;;Ouvert du lundi au vendredi : 9h-12h / 14h-19h. Le samedi : 9h-12h. Fermé le dimanche et jours fériés;[ 46.9508624 , -1.549219]
48;DOMAINE LES COINS;Grossève;44650;CORCOUE-SUR-LOGNE;02 40 05 95 95;;jeanclaude.malidain@free.fr;http://domaine.les.coins.online.fr/;Ouvert du lundi au vendredi : 8h30-12h30 / 14h-18h30. Le samedi jusqu’à 17h. Fermé le dimanche;[ 46.9490167 , -1.579122]
49;VIGNOBLE MALIDAIN;Le Demi Boeuf;44310;LA LIMOUZINIERE;02 40 05 82 29;;ledemiboeuf@vignoblemalidain.com;www.vignoblemalidain.com;Ouvert du lundi au samedi : 8h-12h / 14h-18h. Fermé le dimanche;[ 47.0022914 , -1.5961781]
50;DOMAINE DE BEL AIR;Route de Bel Air de Gauchoux;44860;SAINT-AIGNAN-GRANDLIEU;02,51,70,80,80;;c.bouinjacquet@wanadoo.fr;www.domaine-de-bel-air.fr;Ouvert leLundi et mardi : 14h-19h. Mercredi et jeudi : 9h-12h / 14h-19h. , Vendredi : 9h-19h. Samedi : 9h-12h / 14h-19h. Fermé le dimanche;[ 47.1404151 , -1.6006181]
51;DOMAINE DE L'AUJARDIÈRE;L'Aujardière;44310;SAINT-PHILBERT-DE-GRAND-LIEU;06 27 43 81 91;;eric@chevalierledomaine.com;www.chevalierledomaine.com;Ouvert du lundi au samedi : 9h-18h. Fermé le dimanche;[ 47.011781 , -1.602891]
52;DOMAINE DES HERBAUGES;Les Herbauges;44830;BOUAYE;02 40 65 44 92;;accueil.dh@sfr.fr;www.domaine-des-herbauges.com;Ouvert du lundi au vendredi : 9h-12h / 14h-18h30 et le samedi : 9h-12h / 14h-17h30. Fermé le dimanche et les jours fériés;[ 47.1378018 , -1.687179]
53;CHATEAU DE LORIERE;Lorière;44830;BRAINS;06 14 82 49 06;;chateaudeloriere@sfr.fr;www.chateaudeloriere.fr;;[ 47.1720034 , -1.6998426]
54;DOMAINE DE LA COCHE;19 La coche;44680;SAINTE-PAZANNE;02 40 02 44 43;;contact@domainedelacoche.com;www.domainedelacoche.com;Le lundi : 14h-19h. Ouvert du mardi au vendredi : 10h-12h / 14h-19h. , Le samedi : 10h-12h / 14h-17h30. Fermé le dimanche;[ 47.1154701 , -1.8222073]
55;LE MOULIN DE LA TOUCHE;;44580;BOURGNEUF-EN-RETZ;02 40 21 47 89;;herisse.joel@cegetel.net;;Ouvert du lundi au samedi : 10h-12h / 15h-18h30. Fermé le dimanche;[ 47.04266 , -1.9529014]
56;DOMAINE DU BUTTAY - EARL VIGNOBLE CHENAIS;Le Buttay;44680;SAINT-MARS-DE-COUTAIS;02 40 04 83 10;;lebuttay@wanadoo.fr;www.buttay.com;;[ 47.112705 , -1.735474]
57;LA TOUR DU FERRÉ;La Champinière;44330;VALLET;02 40 36 61 77;;latourduferre@wanadoo.fr;www.latourduferre.fr;Ouvert du lundi au vendredi : 9h-12h / 14h-19h. Le samedi 9h-12h. En dehors de ces horaires, merci de nous contacter au 06 75 75 87 31. Fermé les vacances de la Toussaint;[ 47.1820788 , -1.2951156]
